"","state","date","State_abbrev","stateFIPS","pos_test","neg_test","test","population","median.age","Black.perc","Hispanic.or.Latino.perc","area","HS_perc","college_perc","Associate_perc","Bachelor_perc","Gradprof_perc","HS_orhigher_perc","Bachelor_orhigher_perc","poverty_perc","density","q_popdensity","q_poverty","mean_winter_temp","mean_summer_temp","mean_winter_rm","mean_summer_rm","retail_and_recreation","grocery_and_pharmacy","parks","transit","workplaces","residential"
"65","Alaska",2020-03-19,"AK",2,0,26,26,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-26,4,15,-21,-25,10
"66","Alaska",2020-03-20,"AK",2,6,254,260,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-28,3,23,-24,-25,12
"67","Alaska",2020-03-21,"AK",2,2,72,74,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-37,-1,1,-25,-20,8
"68","Alaska",2020-03-22,"AK",2,8,188,196,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-30,-4,65,-30,-21,6
"69","Alaska",2020-03-23,"AK",2,0,0,0,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-36,-11,23,-37,-35,14
"70","Alaska",2020-03-24,"AK",2,14,40,54,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-37,-12,17,-39,-39,16
"71","Alaska",2020-03-25,"AK",2,6,663,669,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-40,-15,6,-42,-41,18
"72","Alaska",2020-03-26,"AK",2,17,152,169,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-40,-13,31,-42,-42,17
"73","Alaska",2020-03-27,"AK",2,10,518,528,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-42,-15,2,-50,-40,19
"74","Alaska",2020-03-28,"AK",2,16,517,533,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-47,-15,11,-50,-30,11
"75","Alaska",2020-03-29,"AK",2,17,396,413,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-48,-27,18,-55,-33,10
"76","Alaska",2020-03-30,"AK",2,12,308,320,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-40,-17,15,-49,-46,18
"77","Alaska",2020-03-31,"AK",2,5,54,59,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-37,-15,15,-45,-44,18
"78","Alaska",2020-04-01,"AK",2,14,876,890,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-35,-8,3,-43,-44,18
"79","Alaska",2020-04-02,"AK",2,10,409,419,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-42,-14,-3,-50,-45,19
"80","Alaska",2020-04-03,"AK",2,14,980,994,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-42,-14,2,-47,-43,20
"81","Alaska",2020-04-04,"AK",2,14,10,24,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-47,-14,21,-50,-32,12
"82","Alaska",2020-04-05,"AK",2,14,230,244,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-41,-17,29,-52,-32,9
"83","Alaska",2020-04-06,"AK",2,6,593,599,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-37,-15,1,-49,-44,17
"84","Alaska",2020-04-07,"AK",2,22,8,30,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-38,-16,1,-48,-44,18
"85","Alaska",2020-04-08,"AK",2,13,142,155,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-38,-14,7,-49,-44,18
"86","Alaska",2020-04-09,"AK",2,9,146,155,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-38,-12,19,-48,-44,18
"87","Alaska",2020-04-10,"AK",2,11,198,209,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-40,-10,28,-49,-44,19
"88","Alaska",2020-04-11,"AK",2,11,289,300,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-41,-4,36,-52,-32,10
"89","Alaska",2020-04-12,"AK",2,15,291,306,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-55,-33,12,-59,-37,9
"90","Alaska",2020-04-13,"AK",2,5,-213,-208,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-36,-15,5,-51,-43,17
"91","Alaska",2020-04-14,"AK",2,8,510,518,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-32,-13,19,-49,-41,18
"92","Alaska",2020-04-15,"AK",2,8,308,316,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-25,-5,-2,-47,-41,17
"93","Alaska",2020-04-16,"AK",2,7,64,71,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-29,-7,8,-47,-42,17
"94","Alaska",2020-04-17,"AK",2,9,706,715,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-32,-10,19,-44,-39,18
"95","Alaska",2020-04-18,"AK",2,5,200,205,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-33,-7,49,-44,-27,9
"96","Alaska",2020-04-19,"AK",2,5,235,240,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-28,-11,44,-51,-28,7
"97","Alaska",2020-04-20,"AK",2,2,227,229,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-25,-9,7,-44,-40,15
"98","Alaska",2020-04-21,"AK",2,8,987,995,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-27,-10,3,-46,-40,17
"99","Alaska",2020-04-22,"AK",2,6,1034,1040,738516,34,3.3,6.9,665384,"28","27.1","8.4","18.4","10.8","92.7","29.2",10.8,1.10990946581222,1,1,NA,NA,NA,NA,-24,-9,21,-45,-40,16
