"","X","state","Type","Start.Date","End.Date","date","stayathome"
"Alaska.2.83",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-23,0
"Alaska.2.84",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-24,0
"Alaska.2.85",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-25,0
"Alaska.2.86",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-26,0
"Alaska.2.87",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-27,0
"Alaska.2.88",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-28,0
"Alaska.2.89",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-29,0
"Alaska.2.90",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-30,0
"Alaska.2.91",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-05-31,0
"Alaska.2.92",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-01,0
"Alaska.2.93",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-02,0
"Alaska.2.94",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-03,0
"Alaska.2.95",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-04,0
"Alaska.2.96",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-05,0
"Alaska.2.97",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-06,0
"Alaska.2.98",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-07,0
"Alaska.2.99",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-08,0
"Alaska.2.100",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-09,0
"Alaska.2.101",2,"Alaska","Stay at home",2020-03-28,2020-04-24,2020-06-10,0
"Arizona.3",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-01,0
"Arizona.3.1",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-02,0
"Arizona.3.2",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-03,0
"Arizona.3.3",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-04,0
"Arizona.3.4",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-05,0
"Arizona.3.5",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-06,0
"Arizona.3.6",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-07,0
"Arizona.3.7",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-08,0
"Arizona.3.8",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-09,0
"Arizona.3.9",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-10,0
"Arizona.3.10",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-11,0
"Arizona.3.11",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-12,0
"Arizona.3.12",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-13,0
"Arizona.3.13",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-14,0
"Arizona.3.14",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-15,0
"Arizona.3.15",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-16,0
"Arizona.3.16",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-17,0
"Arizona.3.17",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-18,0
"Arizona.3.18",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-19,0
"Arizona.3.19",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-20,0
"Arizona.3.20",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-21,0
"Arizona.3.21",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-22,0
"Arizona.3.22",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-23,0
"Arizona.3.23",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-24,0
"Arizona.3.24",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-25,0
"Arizona.3.25",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-26,0
"Arizona.3.26",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-27,0
"Arizona.3.27",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-28,0
"Arizona.3.28",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-29,0
"Arizona.3.29",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-30,0
"Arizona.3.30",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-03-31,1
"Arizona.3.31",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-01,1
"Arizona.3.32",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-02,1
"Arizona.3.33",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-03,1
"Arizona.3.34",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-04,1
"Arizona.3.35",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-05,1
"Arizona.3.36",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-06,1
"Arizona.3.37",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-07,1
"Arizona.3.38",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-08,1
"Arizona.3.39",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-09,1
"Arizona.3.40",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-10,1
"Arizona.3.41",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-11,1
"Arizona.3.42",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-12,1
"Arizona.3.43",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-13,1
"Arizona.3.44",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-14,1
"Arizona.3.45",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-15,1
"Arizona.3.46",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-16,1
"Arizona.3.47",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-17,1
"Arizona.3.48",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-18,1
"Arizona.3.49",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-19,1
"Arizona.3.50",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-20,1
"Arizona.3.51",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-21,1
"Arizona.3.52",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-22,1
"Arizona.3.53",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-23,1
"Arizona.3.54",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-24,1
"Arizona.3.55",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-25,1
"Arizona.3.56",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-26,1
"Arizona.3.57",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-27,1
"Arizona.3.58",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-28,1
"Arizona.3.59",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-29,1
"Arizona.3.60",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-04-30,1
"Arizona.3.61",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-01,1
"Arizona.3.62",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-02,1
"Arizona.3.63",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-03,1
"Arizona.3.64",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-04,1
"Arizona.3.65",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-05,1
"Arizona.3.66",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-06,1
"Arizona.3.67",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-07,1
"Arizona.3.68",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-08,1
"Arizona.3.69",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-09,1
"Arizona.3.70",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-10,1
"Arizona.3.71",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-11,1
"Arizona.3.72",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-12,1
"Arizona.3.73",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-13,1
"Arizona.3.74",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-14,1
"Arizona.3.75",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-15,1
"Arizona.3.76",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-16,0
"Arizona.3.77",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-17,0
"Arizona.3.78",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-18,0
"Arizona.3.79",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-19,0
"Arizona.3.80",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-20,0
"Arizona.3.81",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-21,0
"Arizona.3.82",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-22,0
"Arizona.3.83",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-23,0
"Arizona.3.84",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-24,0
"Arizona.3.85",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-25,0
"Arizona.3.86",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-26,0
"Arizona.3.87",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-27,0
"Arizona.3.88",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-28,0
"Arizona.3.89",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-29,0
"Arizona.3.90",3,"Arizona","Stay at home",2020-03-31,2020-05-15,2020-05-30,0
