"","week","date","state","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"422",8,2020-02-18,"New Jersey",0,1.57142857142857,2.42857142857143,-0.142857142857143,32.8571428571429,2.42857142857143
"423",9,2020-02-25,"New Jersey",-0.428571428571429,2.42857142857143,3.85714285714286,1.57142857142857,12.1428571428571,1.57142857142857
"424",10,2020-03-03,"New Jersey",-0.142857142857143,2.57142857142857,6,6.42857142857143,51.5714285714286,0.571428571428571
"425",11,2020-03-10,"New Jersey",4.42857142857143,-7.71428571428571,-2.28571428571429,16.2857142857143,45,-17.7142857142857
"426",12,2020-03-17,"New Jersey",18.5714285714286,-40.5714285714286,-40.2857142857143,-8.57142857142857,14.1428571428571,-51.2857142857143
"427",13,2020-03-24,"New Jersey",23.5714285714286,-53,-51.1428571428571,-25,0,-64.7142857142857
"428",14,2020-03-31,"New Jersey",24.5714285714286,-56,-56.7142857142857,-10.7142857142857,7.14285714285714,-65.7142857142857
"429",15,2020-04-07,"New Jersey",26,-60,-63.5714285714286,-17,-21.4285714285714,-69.7142857142857
"430",16,2020-04-14,"New Jersey",24.5714285714286,-55.5714285714286,-59.2857142857143,-22.8571428571429,-20.5714285714286,-67.4285714285714
"431",17,2020-04-21,"New Jersey",24,-53.8571428571429,-59.5714285714286,-24.2857142857143,-26.8571428571429,-67.2857142857143
"432",18,2020-04-28,"New Jersey",21.1428571428571,-51.1428571428571,-51.8571428571429,-17.4285714285714,28.2857142857143,-61.4285714285714
"433",19,2020-05-05,"New Jersey",20.8571428571429,-48.4285714285714,-49.4285714285714,-13.2857142857143,18.8571428571429,-61
"434",20,2020-05-12,"New Jersey",19.75,-47.25,-45.25,-11.75,80.5,-55.75
"435",7,2020-02-11,"New Mexico",0.666666666666667,-8.33333333333333,7.66666666666667,7.66666666666667,29.6666666666667,5.33333333333333
"436",8,2020-02-18,"New Mexico",-0.285714285714286,2.28571428571429,3,4.14285714285714,0.428571428571429,2.85714285714286
"437",9,2020-02-25,"New Mexico",-1.71428571428571,3.28571428571429,11.7142857142857,11,14.8571428571429,8.14285714285714
"438",10,2020-03-03,"New Mexico",-1.42857142857143,2.85714285714286,11.1428571428571,13,23.4285714285714,8.85714285714286
"439",11,2020-03-10,"New Mexico",1.57142857142857,-5,3.42857142857143,25.1428571428571,22.1428571428571,6.85714285714286
"440",12,2020-03-17,"New Mexico",11,-28.8571428571429,-25.2857142857143,12.1428571428571,1,-8.71428571428571
"441",13,2020-03-24,"New Mexico",16.2857142857143,-41.4285714285714,-41.7142857142857,-13.5714285714286,-13.7142857142857,-27.2857142857143
"442",14,2020-03-31,"New Mexico",15.8571428571429,-42.2857142857143,-36.4285714285714,-7.28571428571429,-3.71428571428571,-28
"443",15,2020-04-07,"New Mexico",17,-45.4285714285714,-42.5714285714286,-13.4285714285714,-15.8571428571429,-34
"444",16,2020-04-14,"New Mexico",15.8571428571429,-41.2857142857143,-34.2857142857143,-9.57142857142857,-10.1428571428571,-29.5714285714286
"445",17,2020-04-21,"New Mexico",15.1428571428571,-41,-31.8571428571429,-6.57142857142857,-3,-27.7142857142857
"446",18,2020-04-28,"New Mexico",12.8571428571429,-39.2857142857143,-27.5714285714286,-0.428571428571429,4.14285714285714,-23
"447",19,2020-05-05,"New Mexico",13.1428571428571,-37.1428571428571,-27.4285714285714,5,7.42857142857143,-20.1428571428571
"448",20,2020-05-12,"New Mexico",13.25,-36,-26,2,16.25,-18.75
"449",7,2020-02-11,"New York",2.66666666666667,-12,5.66666666666667,-3,11.3333333333333,-8.66666666666667
"450",8,2020-02-18,"New York",1.14285714285714,-3.71428571428571,3.14285714285714,-1.85714285714286,15.2857142857143,-1.71428571428571
"451",9,2020-02-25,"New York",0.142857142857143,2.85714285714286,3.71428571428571,1.42857142857143,0.714285714285714,-0.428571428571429
"452",10,2020-03-03,"New York",-0.285714285714286,3.28571428571429,6.42857142857143,6.57142857142857,24.5714285714286,-1
"453",11,2020-03-10,"New York",3.85714285714286,-6.71428571428571,-5.57142857142857,18.8571428571429,11.2857142857143,-18.2857142857143
"454",12,2020-03-17,"New York",17.1428571428571,-39.1428571428571,-43.5714285714286,-3.28571428571429,-16.2857142857143,-52
"455",13,2020-03-24,"New York",23.2857142857143,-54,-56.1428571428571,-23.5714285714286,-28.4285714285714,-65.8571428571429
"456",14,2020-03-31,"New York",24,-57.4285714285714,-55.4285714285714,-22,-21.4285714285714,-68.1428571428571
"457",15,2020-04-07,"New York",25.1428571428571,-60,-65.5714285714286,-19.7142857142857,-29.8571428571429,-70.4285714285714
"458",16,2020-04-14,"New York",23.7142857142857,-55.7142857142857,-61.1428571428571,-22.1428571428571,-23.7142857142857,-67.7142857142857
"459",17,2020-04-21,"New York",23.1428571428571,-54.2857142857143,-61.1428571428571,-23.1428571428571,-29,-67.7142857142857
"460",18,2020-04-28,"New York",20.1428571428571,-51.1428571428571,-53.5714285714286,-16.1428571428571,6.42857142857143,-62.7142857142857
"461",19,2020-05-05,"New York",20.1428571428571,-49,-52.2857142857143,-12.5714285714286,-12.5714285714286,-62.2857142857143
"462",20,2020-05-12,"New York",19.5,-47.75,-48.75,-10.75,25.75,-58.5
"463",7,2020-02-11,"North Carolina",0.333333333333333,-4.33333333333333,4.66666666666667,-0.666666666666667,21.3333333333333,3
"464",8,2020-02-18,"North Carolina",2.28571428571429,-2,-1.42857142857143,-2.14285714285714,1.71428571428571,1.14285714285714
"465",9,2020-02-25,"North Carolina",-1.57142857142857,2.57142857142857,10.5714285714286,3.14285714285714,19,9.14285714285714
"466",10,2020-03-03,"North Carolina",-0.857142857142857,1.28571428571429,8.57142857142857,5,29.7142857142857,4.85714285714286
