"","state","date","week","pos_test","neg_test","test","residential","work","retail_rec","grocery_pharmacy","parks","transit"
"270","Mississippi",2020-04-08,15,1172,16159,17331,17.125,-44.4375,-37.7916666666667,-10.9583333333333,-24.1041666666667,-32.875
"271","Mississippi",2020-04-15,16,1629,12857,14486,15.1276595744681,-39.1914893617021,-27.4893617021277,-8,-17.5106382978723,-25.063829787234
"272","Mississippi",2020-04-22,17,1626,10422,12048,13.7916666666667,-37.1458333333333,-23.5208333333333,-5,-3.8125,-23.5208333333333
"273","Mississippi",2020-04-29,18,1865,14031,15896,11.1063829787234,-34.4893617021277,-15.9148936170213,2.12765957446809,6.80851063829787,-17.4468085106383
"274","Mississippi",2020-05-06,19,1701,15683,17384,10.4418604651163,-31.5116279069767,-10.8604651162791,8.69767441860465,15.4186046511628,-12.7209302325581
"275","Mississippi",2020-05-13,20,1796,18272,20068,10.4,-31.7,-2.5,7.1,20.9,-3.9
"276","Missouri",2020-03-04,10,1,0,1,-1.52238805970149,4.82089552238806,11.9701492537313,9.01492537313433,67.0149253731343,9.23880597014925
"277","Missouri",2020-03-11,11,7,207,214,1.72368421052632,-2.26315789473684,2.47368421052632,21.4473684210526,14.8947368421053,1.32894736842105
"278","Missouri",2020-03-18,12,175,162,337,11.4675324675325,-27.8571428571429,-28.6363636363636,12.4675324675325,-0.896103896103896,-14.8831168831169
"279","Missouri",2020-03-25,13,1144,14245,15389,16.3521126760563,-41.3521126760563,-42.5352112676056,-13.887323943662,40.7464788732394,-26.0704225352113
"280","Missouri",2020-04-01,14,1710,14318,16028,16.961038961039,-43.4155844155844,-41.8181818181818,-4.38961038961039,13.2727272727273,-29.3636363636364
"281","Missouri",2020-04-08,15,1649,14360,16009,17.4507042253521,-47.169014084507,-44.7746478873239,-12.6478873239437,14.8028169014085,-31.8028169014085
"282","Missouri",2020-04-15,16,1255,7887,9142,16.7428571428571,-43.5142857142857,-35.7142857142857,-10.6571428571429,19.9571428571429,-27.2857142857143
"283","Missouri",2020-04-22,17,1362,15021,16383,16.0757575757576,-42.7878787878788,-33.3939393939394,-9.07575757575758,31.2575757575758,-24.9090909090909
"284","Missouri",2020-04-29,18,1613,19950,21563,13.2615384615385,-40.6769230769231,-27.2153846153846,-3.67692307692308,43.7846153846154,-19.4153846153846
"285","Missouri",2020-05-06,19,1090,25140,26230,12.1492537313433,-36.4925373134328,-18.3731343283582,4.6865671641791,45.1641791044776,-14.8805970149254
"286","Missouri",2020-05-13,20,1074,31740,32814,15.0952380952381,-40.6666666666667,-16.7142857142857,0.19047619047619,12.7142857142857,-14.1428571428571
"287","Montana",2020-03-04,10,0,15,15,-0.742857142857143,2.65714285714286,9.4,7.74285714285714,14.8285714285714,6.97142857142857
